pps,bps,avg_pkt_size,total_packets,total_bytes,tcp_ratio,udp_ratio,icmp_ratio,syn_ratio,synack_ratio,rst_ratio,syn_count,ack_count,rst_count,fin_count,unique_src_ips,top_ip_ratio,unique_dst_ports,unique_src_ports,iat_mean,iat_std,window_duration,label
3.0,2416.52,806.13,15,12092,1.0,0.0,0.0,0.2,1.0,0.0,3,14,0,2,2,0.6,3,3,0.359504,1.289327,5.0,normal
2.59,2468.55,952.92,13,12388,0.6923,0.3077,0.0,0.1111,1.0,0.0,1,8,0,2,2,0.6923,3,4,0.419678,0.496568,5.02,normal
0.03,2.22,74.0,1,74,1.0,0.0,0.0,1.0,1.0,0.0,1,0,0,0,1,1.0,1,1,0.0,0.0,33.35,normal
3.71,2966.47,800.53,30,24016,1.0,0.0,0.0,0.1333,1.0,0.0,4,28,0,4,2,0.5667,3,4,0.279279,1.019552,8.1,normal
3.46,2949.24,853.0,28,23884,1.0,0.0,0.0,0.1429,1.0,0.0,4,26,0,4,2,0.5714,3,4,0.300039,1.055991,8.1,normal
2.97,2919.86,984.17,24,23620,1.0,0.0,0.0,0.1667,1.0,0.0,4,22,0,4,2,0.5833,3,4,0.353352,1.139979,8.09,normal
3.45,2943.25,853.0,28,23884,1.0,0.0,0.0,0.1429,1.0,0.0,4,26,0,4,2,0.5714,3,4,0.301226,1.058364,8.11,normal
2.96,2916.64,984.17,24,23620,1.0,0.0,0.0,0.1667,1.0,0.0,4,22,0,4,2,0.5833,3,4,0.352809,1.138717,8.1,normal
3.23,3046.35,943.69,26,24536,0.9231,0.0769,0.0,0.1667,1.0,0.0,4,22,0,4,4,0.5385,5,6,0.323828,0.99773,8.05,normal
3.47,2963.42,853.0,28,23884,1.0,0.0,0.0,0.1429,1.0,0.0,4,26,0,4,2,0.5714,3,4,0.299414,1.051963,8.06,normal
3.22,2942.2,913.54,26,23752,1.0,0.0,0.0,0.1538,1.0,0.0,4,24,0,4,2,0.5769,3,4,0.323523,1.09441,8.07,normal
3.21,2935.79,913.54,26,23752,1.0,0.0,0.0,0.1538,1.0,0.0,4,24,0,4,2,0.5769,3,4,0.324037,1.094217,8.09,normal
2.97,2925.47,984.17,24,23620,1.0,0.0,0.0,0.1667,1.0,0.0,4,22,0,4,2,0.5833,3,4,0.351675,1.134832,8.07,normal
2.97,2926.04,984.17,24,23620,1.0,0.0,0.0,0.1667,1.0,0.0,4,22,0,4,2,0.5833,3,4,0.351633,1.135536,8.07,normal
2.99,2945.83,984.17,24,23620,1.0,0.0,0.0,0.1667,1.0,0.0,4,22,0,4,2,0.5833,3,4,0.350549,1.133276,8.02,normal
2.97,2924.37,984.17,24,23620,1.0,0.0,0.0,0.1667,1.0,0.0,4,22,0,4,2,0.5833,3,4,0.351694,1.136736,8.08,normal
2.96,2914.61,984.17,24,23620,1.0,0.0,0.0,0.1667,1.0,0.0,4,22,0,4,2,0.5833,3,4,0.353318,1.141318,8.1,normal
2.98,2932.29,984.17,24,23620,1.0,0.0,0.0,0.1667,1.0,0.0,4,22,0,4,2,0.5833,3,4,0.351112,1.135279,8.06,normal
2.97,2927.69,984.17,24,23620,1.0,0.0,0.0,0.1667,1.0,0.0,4,22,0,4,2,0.5833,3,4,0.35224,1.135577,8.07,normal
2.98,2937.56,984.17,24,23620,1.0,0.0,0.0,0.1667,1.0,0.0,4,22,0,4,2,0.5833,3,4,0.351009,1.130812,8.04,normal
2.96,2917.74,984.17,24,23620,1.0,0.0,0.0,0.1667,1.0,0.0,4,22,0,4,2,0.5833,3,4,0.352936,1.141689,8.1,normal
2.99,2940.72,984.17,24,23620,1.0,0.0,0.0,0.1667,1.0,0.0,4,22,0,4,2,0.5833,3,4,0.351036,1.13371,8.03,normal
