pps,bps,avg_pkt_size,total_packets,total_bytes,tcp_ratio,udp_ratio,icmp_ratio,syn_ratio,synack_ratio,rst_ratio,syn_count,ack_count,rst_count,fin_count,unique_src_ips,top_ip_ratio,unique_dst_ports,unique_src_ports,iat_mean,iat_std,window_duration,label
265.77,304376.34,1145.28,1334,1527801,1.0,0.0,0.0,0.1882,1.0,0.0,251,1179,0,198,2,0.524,358,433,0.006409,0.099557,5.02,attack
399.48,364691.01,912.91,2025,1848633,1.0,0.0,0.0,0.2415,1.0,0.0,489,1737,0,290,2,0.5279,507,550,0.003478,0.047746,5.07,attack
356.34,326375.85,915.9,1786,1635806,1.0,0.0,0.0,0.2223,1.0,0.0,397,1546,0,297,2,0.5196,439,467,0.004565,0.075773,5.01,attack
289.31,279981.21,967.74,1447,1400322,1.0,0.0,0.0,0.2205,1.0,0.0,319,1233,0,198,2,0.5619,354,448,0.005697,0.094644,5.0,attack
354.65,295769.03,833.97,1790,1492811,1.0,0.0,0.0,0.2425,1.0,0.0,434,1535,0,249,2,0.5464,438,476,0.004449,0.06728,5.05,attack
366.57,349815.56,954.3,1833,1749239,1.0,0.0,0.0,0.2406,1.0,0.0,441,1551,0,252,2,0.5548,419,502,0.004328,0.068983,5.0,attack
301.73,291203.09,965.12,1528,1474701,1.0,0.0,0.0,0.2258,1.0,0.0,345,1302,0,215,2,0.538,359,433,0.004809,0.070581,5.06,attack
380.36,395693.95,1040.3,1914,1991140,1.0,0.0,0.0,0.221,1.0,0.0,423,1658,0,274,2,0.5235,490,541,0.004043,0.062798,5.03,attack
390.77,349802.57,895.16,1969,1762561,1.0,0.0,0.0,0.2138,1.0,0.0,421,1703,0,272,2,0.5399,449,518,0.003986,0.068372,5.04,attack
436.79,420369.3,962.4,2184,2101882,1.0,0.0,0.0,0.2248,1.0,0.0,491,1888,0,281,2,0.5353,503,578,0.003548,0.059646,5.0,attack
412.59,343698.3,833.03,2063,1718537,1.0,0.0,0.0,0.2317,0.9855,0.0145,478,1758,30,292,2,0.5356,484,506,0.003878,0.068171,5.0,attack
118.74,56113.96,472.58,766,361996,1.0,0.0,0.0,0.0601,0.9634,0.0366,46,715,28,33,2,0.8029,521,65,0.012172,0.189542,6.45,attack
0.09,6.91,74.0,1,74,1.0,0.0,0.0,1.0,1.0,0.0,1,0,0,0,1,1.0,1,1,0.0,0.0,10.7,attack
30.18,2956.15,97.95,151,14790,1.0,0.0,0.0,0.2848,1.0,0.0,43,130,0,0,2,0.5695,24,23,0.034365,0.419011,5.0,attack
59.99,13508.36,225.17,300,67552,1.0,0.0,0.0,0.0,1.0,0.0,0,300,0,92,2,0.62,96,104,0.016989,0.234276,5.0,attack
36.06,5600.14,155.32,347,53895,1.0,0.0,0.0,0.0,0.8386,0.1614,0,291,56,55,2,0.5043,118,146,0.028731,0.341198,9.62,attack
46.4,10287.81,221.72,232,51440,1.0,0.0,0.0,0.0,1.0,0.0,0,232,0,74,2,0.625,72,73,0.022333,0.332337,5.0,attack
18.27,1328.23,72.71,177,12870,1.0,0.0,0.0,0.0452,0.6893,0.3107,8,118,55,0,2,0.6215,62,101,0.056098,0.515061,9.69,attack
88.79,20390.3,229.64,444,101960,1.0,0.0,0.0,0.0,1.0,0.0,0,444,0,142,2,0.6419,146,111,0.011475,0.152973,5.0,attack
44.24,6768.48,152.99,432,66092,1.0,0.0,0.0,0.0023,0.8704,0.1296,1,375,56,79,2,0.5162,141,172,0.023291,0.286351,9.76,attack
52.51,10446.41,198.93,516,102647,1.0,0.0,0.0,0.0,1.0,0.0,0,516,0,127,2,0.5078,137,156,0.019517,0.257881,9.83,attack
63.45,9329.9,147.04,357,52492,1.0,0.0,0.0,0.0,0.8431,0.1569,0,301,56,55,2,0.5294,114,136,0.016724,0.2682,5.63,attack
101.91,19840.59,194.69,600,116816,1.0,0.0,0.0,0.0,1.0,0.0,0,600,0,142,2,0.51,154,174,0.010149,0.136463,5.89,attack
49.06,6574.6,134.02,381,51060,1.0,0.0,0.0,0.105,0.8504,0.1496,40,296,57,39,2,0.5407,130,152,0.021313,0.283712,7.77,attack
52.09,10167.74,195.19,527,102865,1.0,0.0,0.0,0.0,1.0,0.0,0,527,0,134,2,0.5085,136,157,0.019744,0.267375,10.12,attack
66.25,9607.14,145.02,340,49308,1.0,0.0,0.0,0.0,0.8294,0.1706,0,282,58,51,2,0.5235,112,135,0.016215,0.27297,5.13,attack
93.87,17836.38,190.01,553,105078,1.0,0.0,0.0,0.0,1.0,0.0,0,553,0,133,2,0.5154,137,172,0.010982,0.158501,5.89,attack
27.6,4125.79,149.46,229,34226,1.0,0.0,0.0,0.0,0.7511,0.2489,0,172,57,35,2,0.5633,96,101,0.037672,0.400656,8.3,attack
99.38,20476.18,206.03,497,102398,1.0,0.0,0.0,0.0,1.0,0.0,0,497,0,134,2,0.5453,139,146,0.010321,0.163807,5.0,attack
19.04,1479.1,77.69,186,14450,0.9892,0.0108,0.0,0.0489,0.6957,0.3043,9,123,56,0,4,0.6183,65,105,0.054253,0.444974,9.77,attack
92.4,18817.55,203.65,462,94088,1.0,0.0,0.0,0.0,1.0,0.0,0,462,0,132,2,0.5563,127,134,0.011076,0.173344,5.0,attack
44.7,6407.04,143.34,432,61921,1.0,0.0,0.0,0.037,0.8657,0.1343,16,366,58,59,2,0.537,131,164,0.023151,0.296353,9.66,attack
